bootstrap_replicate,full_minus_a2c_points,full_score,a2c_pointer_score
632,1.604360179,75.89149472,74.28713454
633,1.76933707,76.46656874,74.69723167
634,2.10776213,77.06871287,74.96095074
635,1.952106532,76.48994645,74.53783992
636,2.43329297,77.28285167,74.8495587
637,1.078107253,77.03527195,75.9571647
638,1.127014035,76.55380646,75.42679242
639,1.947838556,76.18672883,74.23889027
640,2.477612446,77.49764801,75.02003556
641,2.693541569,77.56766338,74.87412181
642,1.072149771,78.6993341,77.62718433
643,1.805754098,76.35935399,74.5535999
644,1.886599952,78.43731659,76.55071664
645,1.399919586,77.95120339,76.55128381
646,2.879545168,76.50689928,73.62735411
647,1.773286469,76.94697946,75.17369299
648,2.908990686,76.40655659,73.4975659
649,1.967816504,75.97609306,74.00827656
650,1.978546747,74.88086948,72.90232273
651,0.9721673006,75.43669006,74.46452276
652,1.886048686,75.43641258,73.55036389
653,2.007840016,76.50028342,74.4924434
654,2.878344897,76.01953038,73.14118548
655,2.569905524,75.91603667,73.34613115
656,2.306687996,76.37026044,74.06357244
657,1.980037598,76.5711859,74.59114831
658,1.585042924,76.61001344,75.02497052
659,1.800369479,77.04679409,75.24642461
660,1.032114024,77.4972909,76.46517688
661,1.203605762,76.61913373,75.41552797
662,2.240728076,76.35198575,74.11125768
663,1.589059829,76.8022003,75.21314047
664,1.662033628,76.51084512,74.84881149
665,1.243075432,77.21293774,75.96986231
666,1.170363494,76.06916042,74.89879693
667,2.716147335,77.5465052,74.83035786
668,1.117751568,77.08426038,75.96650881
669,2.04822392,76.48278312,74.4345592
670,2.781563257,77.31801789,74.53645463
671,2.345714177,77.50403457,75.15832039
672,2.929395596,76.67388164,73.74448604
673,1.266685067,75.79523912,74.52855405
674,2.588121298,76.43805671,73.84993542
675,1.74007738,76.68486566,74.94478828
676,1.608832177,75.87760545,74.26877327
677,2.115864111,76.59550915,74.47964504
678,2.522513845,76.50556707,73.98305323
679,2.116777917,76.79549619,74.67871827
680,2.297382235,76.12881435,73.83143211
681,1.772343254,76.05996201,74.28761876
682,1.072408326,77.6090571,76.53664878
683,1.682119303,77.10130745,75.41918815
684,1.837022139,77.03117357,75.19415143
685,2.324303779,76.37859768,74.0542939
686,1.44560665,77.28520029,75.83959364
687,2.149007395,75.70080065,73.55179326
688,1.78758972,76.94778342,75.1601937
689,1.933472598,76.5670129,74.63354031
690,1.49044484,76.42632291,74.93587807
