model,episodes_seen,weighted_coverage,q25,q75,seed_count
traditional_ppo,877.154362416,0.27438981229,0.2706972263,0.279345375419,5
traditional_ppo,897.181208054,0.246048272497,0.223605659756,0.253628837231,5
traditional_ppo,917.208053691,0.290668257131,0.275515153104,0.300676384228,5
traditional_ppo,937.234899329,0.252150390357,0.241252161519,0.271876177065,5
traditional_ppo,957.261744966,0.271337643174,0.249938070341,0.274816605281,5
traditional_ppo,977.288590604,0.258500681628,0.24822383599,0.25985082844,5
traditional_ppo,997.315436242,0.261140383167,0.250858187235,0.262847127106,5
traditional_ppo,1017.34228188,0.267859389981,0.237799616491,0.2743077789,5
traditional_ppo,1037.36912752,0.244723004554,0.243649735481,0.25695003253,5
traditional_ppo,1057.39597315,0.271268089346,0.242351352768,0.277854970638,5
traditional_ppo,1077.42281879,0.239676071771,0.228788864539,0.244017942748,5
traditional_ppo,1097.44966443,0.280889523909,0.263424129614,0.307197724413,5
traditional_ppo,1117.47651007,0.247588943295,0.246561258732,0.248408180386,5
traditional_ppo,1137.5033557,0.273408340895,0.268768030492,0.273574333781,5
traditional_ppo,1157.53020134,0.277658347315,0.262379404362,0.287350566275,5
traditional_ppo,1177.55704698,0.245116652471,0.233445653849,0.247317094833,5
traditional_ppo,1197.58389262,0.298686556208,0.274155830537,0.299234479866,5
traditional_ppo,1217.61073826,0.246816253767,0.242567691926,0.26100181054,5
traditional_ppo,1237.63758389,0.287159132739,0.27158121533,0.292530025853,5
traditional_ppo,1257.66442953,0.246815504725,0.245077087043,0.273812769655,5
traditional_ppo,1277.69127517,0.239494696788,0.22541352426,0.24663680489,5
traditional_ppo,1297.71812081,0.270446203859,0.261138055789,0.272450450923,5
traditional_ppo,1317.74496644,0.232913941583,0.220635229763,0.238623561841,5
traditional_ppo,1337.77181208,0.275360476091,0.271527632131,0.323273647232,5
traditional_ppo,1357.79865772,0.261635820436,0.24139244624,0.269398027667,5
traditional_ppo,1377.82550336,0.269128105311,0.259470556259,0.275215402856,5
traditional_ppo,1397.85234899,0.261052852349,0.257466442953,0.270868288591,5
traditional_ppo,1417.87919463,0.241164523695,0.233535271281,0.245102206675,5
traditional_ppo,1437.90604027,0.302878565436,0.301017197987,0.306627516779,5
traditional_ppo,1457.93288591,0.256318055746,0.245442726168,0.259479865772,5
traditional_ppo,1477.95973154,0.294708665765,0.294460947131,0.300959414806,5
traditional_ppo,1497.98657718,0.22509865943,0.222827994453,0.247992569511,5
traditional_ppo,1518.01342282,0.280276714555,0.269629561661,0.297536965185,5
traditional_ppo,1538.04026846,0.229670539566,0.223920952609,0.266496402462,5
traditional_ppo,1558.06711409,0.25897411581,0.24923183147,0.270143457446,5
traditional_ppo,1578.09395973,0.261515572567,0.255525115352,0.276888239304,5
traditional_ppo,1598.12080537,0.267206814563,0.252138847097,0.278835211465,5
traditional_ppo,1618.14765101,0.299278392408,0.284275377517,0.301114854237,5
traditional_ppo,1638.17449664,0.234020114967,0.2221802343,0.24497564546,5
traditional_ppo,1658.20134228,0.277944922464,0.2588499221,0.288881125017,5
traditional_ppo,1678.22818792,0.245432400099,0.244265126353,0.245990649825,5
traditional_ppo,1698.25503356,0.251327474939,0.237854630894,0.259886274141,5
traditional_ppo,1718.28187919,0.274919384438,0.262773306418,0.278237730705,5
traditional_ppo,1738.30872483,0.254428492244,0.23784466597,0.259651877739,5
traditional_ppo,1758.33557047,0.286995988884,0.286767905831,0.303819080327,5
traditional_ppo,1778.36241611,0.238773691104,0.234789273302,0.241816938604,5
traditional_ppo,1798.38926174,0.277979966892,0.274248939037,0.289614851026,5
traditional_ppo,1818.41610738,0.258640284186,0.24036873427,0.272337720218,5
traditional_ppo,1838.44295302,0.225366709184,0.223057120814,0.250598497316,5
