model,training_seed,environment_interactions,weighted_coverage,series,q25,q75
full,45,3347.195531,0.4678382051,seed,,
full,45,3446.625698,0.4537306785,seed,,
full,45,3546.055866,0.4230603611,seed,,
full,45,3645.486034,0.4837034741,seed,,
full,45,3744.916201,0.4613673689,seed,,
full,45,3844.346369,0.4357598149,seed,,
full,45,3943.776536,0.4271333208,seed,,
full,45,4043.206704,0.4349330221,seed,,
full,45,4142.636872,0.4564792491,seed,,
full,45,4242.067039,0.402330378,seed,,
full,45,4341.497207,0.351320017,seed,,
full,45,4440.927374,0.352862692,seed,,
full,45,4540.357542,0.371654753,seed,,
full,45,4639.787709,0.3822865779,seed,,
full,45,4739.217877,0.3793300561,seed,,
full,45,4838.648045,0.4178516054,seed,,
full,45,4938.078212,0.4035071665,seed,,
full,45,5037.50838,0.4476176328,seed,,
full,45,5136.938547,0.4991044035,seed,,
full,45,5236.368715,0.3367424688,seed,,
full,45,5335.798883,0.3847793036,seed,,
full,45,5435.22905,0.4282777042,seed,,
full,45,5534.659218,0.444963338,seed,,
full,45,5634.089385,0.434277586,seed,,
full,45,5733.519553,0.4115366962,seed,,
full,45,5832.949721,0.4631896305,seed,,
full,45,5932.379888,0.4950953567,seed,,
full,45,6031.810056,0.4251020319,seed,,
full,45,6131.240223,0.437625921,seed,,
full,45,6230.670391,0.4506458231,seed,,
full,45,6330.100559,0.4654122221,seed,,
full,45,6429.530726,0.4831378182,seed,,
full,45,6528.960894,0.4522466295,seed,,
full,45,6628.391061,0.425793387,seed,,
full,45,6727.821229,0.45092471,seed,,
full,45,6827.251397,0.4467029808,seed,,
full,45,6926.681564,0.4344100036,seed,,
full,45,7026.111732,0.4202784411,seed,,
full,45,7125.541899,0.4272141392,seed,,
full,45,7224.972067,0.4646254359,seed,,
full,45,7324.402235,0.4895207389,seed,,
full,45,7423.832402,0.4942592253,seed,,
full,45,7523.26257,0.4870938097,seed,,
full,45,7622.692737,0.4692113654,seed,,
full,45,7722.122905,0.4453971144,seed,,
full,45,7821.553073,0.4362098797,seed,,
full,45,7920.98324,0.498143044,seed,,
full,45,8020.413408,0.4672839381,seed,,
full,45,8119.843575,0.4570845063,seed,,
full,45,8219.273743,0.4611348165,seed,,
full,45,8318.703911,0.4540875822,seed,,
full,45,8418.134078,0.4130081301,seed,,
full,45,8517.564246,0.3992690087,seed,,
full,45,8616.994413,0.4403952356,seed,,
full,45,8716.424581,0.4552303184,seed,,
full,45,8815.854749,0.4679674436,seed,,
full,45,8915.284916,0.4903546783,seed,,
full,45,9014.715084,0.3960176968,seed,,
full,45,9114.145251,0.4150446764,seed,,
full,45,9213.575419,0.4696517315,seed,,
full,45,9313.005587,0.4840854816,seed,,
