record_type,model,model_label,seed,episodes_seen,environment_interactions,safe_weighted_coverage,curve_source,q25,median,q75
seed,full,PPO+Pointer,43,944,15271,1,training_batch,,,
seed,full,PPO+Pointer,43,960,15543,1,training_batch,,,
seed,full,PPO+Pointer,43,976,15815,1,training_batch,,,
seed,full,PPO+Pointer,43,992,16087,1,training_batch,,,
seed,full,PPO+Pointer,43,1008,16349,0.970703125,training_batch,,,
seed,full,PPO+Pointer,43,1024,16621,1,training_batch,,,
seed,full,PPO+Pointer,43,1040,16893,1,training_batch,,,
seed,full,PPO+Pointer,43,1056,17165,1,training_batch,,,
seed,full,PPO+Pointer,43,1072,17437,1,training_batch,,,
seed,full,PPO+Pointer,43,1088,17683,0.916015625,training_batch,,,
seed,full,PPO+Pointer,43,1104,17955,1,training_batch,,,
seed,full,PPO+Pointer,43,1120,18227,1,training_batch,,,
seed,full,PPO+Pointer,43,1136,18499,1,training_batch,,,
seed,full,PPO+Pointer,43,1152,18769,0.9921875,training_batch,,,
seed,full,PPO+Pointer,43,1168,19041,1,training_batch,,,
seed,full,PPO+Pointer,43,1184,19313,1,training_batch,,,
seed,full,PPO+Pointer,43,1200,19585,1,training_batch,,,
seed,full,PPO+Pointer,43,1216,19849,0.9765625,training_batch,,,
seed,full,PPO+Pointer,43,1232,20121,1,training_batch,,,
seed,full,PPO+Pointer,43,1248,20393,1,training_batch,,,
seed,full,PPO+Pointer,43,1264,20665,1,training_batch,,,
seed,full,PPO+Pointer,43,1280,20937,1,training_batch,,,
seed,full,PPO+Pointer,43,1296,21209,1,training_batch,,,
seed,full,PPO+Pointer,43,1312,21481,1,training_batch,,,
seed,full,PPO+Pointer,43,1328,21739,0.9453125,training_batch,,,
seed,full,PPO+Pointer,43,1344,22011,1,training_batch,,,
seed,full,PPO+Pointer,43,1360,22283,1,training_batch,,,
seed,full,PPO+Pointer,43,1376,22555,1,training_batch,,,
seed,full,PPO+Pointer,43,1392,22827,1,training_batch,,,
seed,full,PPO+Pointer,43,1408,23099,1,training_batch,,,
seed,full,PPO+Pointer,43,1424,23371,1,training_batch,,,
seed,full,PPO+Pointer,43,1440,23643,1,training_batch,,,
seed,full,PPO+Pointer,43,1456,23915,1,training_batch,,,
seed,full,PPO+Pointer,43,1472,24187,1,training_batch,,,
seed,full,PPO+Pointer,43,1488,24459,1,training_batch,,,
seed,full,PPO+Pointer,43,1504,24731,1,training_batch,,,
seed,full,PPO+Pointer,43,1520,25003,1,training_batch,,,
seed,full,PPO+Pointer,43,1536,25275,1,training_batch,,,
seed,full,PPO+Pointer,43,1552,25547,1,training_batch,,,
seed,full,PPO+Pointer,43,1568,25819,1,training_batch,,,
seed,full,PPO+Pointer,43,1584,26073,0.953125,training_batch,,,
seed,full,PPO+Pointer,43,1600,26345,1,training_batch,,,
seed,full,PPO+Pointer,43,1616,26617,1,training_batch,,,
seed,full,PPO+Pointer,43,1632,26889,1,training_batch,,,
seed,full,PPO+Pointer,43,1648,27161,1,training_batch,,,
seed,full,PPO+Pointer,43,1664,27418,0.943359375,training_batch,,,
seed,full,PPO+Pointer,43,1680,27690,1,training_batch,,,
seed,full,PPO+Pointer,43,1696,27942,0.94140625,training_batch,,,
seed,full,PPO+Pointer,43,1712,28214,1,training_batch,,,
seed,full,PPO+Pointer,43,1728,28486,1,training_batch,,,
seed,full,PPO+Pointer,43,1744,28758,1,training_batch,,,
seed,full,PPO+Pointer,43,1760,29030,1,training_batch,,,
seed,full,PPO+Pointer,43,1776,29302,1,training_batch,,,
seed,full,PPO+Pointer,43,1792,29574,1,training_batch,,,
seed,full,PPO+Pointer,43,1808,29846,1,training_batch,,,
seed,full,PPO+Pointer,43,1824,30118,1,training_batch,,,
seed,full,PPO+Pointer,43,1840,30390,1,training_batch,,,
seed,full,PPO+Pointer,43,1856,30662,1,training_batch,,,
seed,full,PPO+Pointer,43,1872,30934,1,training_batch,,,
seed,full,PPO+Pointer,43,1888,31206,1,training_batch,,,
seed,full,PPO+Pointer,43,1904,31478,1,training_batch,,,
seed,full,PPO+Pointer,43,1920,31750,1,training_batch,,,
seed,full,PPO+Pointer,43,1936,32014,0.9765625,training_batch,,,
seed,full,PPO+Pointer,43,1952,32286,1,training_batch,,,
seed,full,PPO+Pointer,43,1968,32551,0.98046875,training_batch,,,
seed,full,PPO+Pointer,43,1984,32822,0.998046875,training_batch,,,
seed,full,PPO+Pointer,43,2000,33084,0.970703125,training_batch,,,
seed,full,PPO+Pointer,43,2016,33356,1,training_batch,,,
seed,full,PPO+Pointer,43,2032,33628,1,training_batch,,,
seed,full,PPO+Pointer,43,2048,33900,1,training_batch,,,
seed,full,PPO+Pointer,43,2064,34172,1,training_batch,,,
seed,full,PPO+Pointer,43,2080,34444,1,training_batch,,,
seed,full,PPO+Pointer,43,2096,34716,1,training_batch,,,
seed,full,PPO+Pointer,43,2112,34988,1,training_batch,,,
seed,full,PPO+Pointer,43,2128,35260,1,training_batch,,,
seed,full,PPO+Pointer,43,2144,35532,1,training_batch,,,
seed,full,PPO+Pointer,43,2160,35804,1,training_batch,,,
seed,full,PPO+Pointer,43,2176,36073,0.990234375,training_batch,,,
seed,full,PPO+Pointer,43,2192,36327,0.9453125,training_batch,,,
seed,full,PPO+Pointer,43,2208,36552,0.857421875,training_batch,,,
seed,full,PPO+Pointer,43,2224,36804,0.939453125,training_batch,,,
seed,full,PPO+Pointer,43,2240,37044,0.880859375,training_batch,,,
seed,full,PPO+Pointer,43,2256,37308,0.9765625,training_batch,,,
seed,full,PPO+Pointer,43,2272,37580,1,training_batch,,,
seed,full,PPO+Pointer,43,2288,37852,1,training_batch,,,
seed,full,PPO+Pointer,43,2304,38124,1,training_batch,,,
seed,full,PPO+Pointer,43,2320,38396,1,training_batch,,,
seed,full,PPO+Pointer,43,2336,38668,1,training_batch,,,
seed,full,PPO+Pointer,43,2352,38940,1,training_batch,,,
seed,full,PPO+Pointer,43,2368,39209,0.990234375,training_batch,,,
seed,full,PPO+Pointer,43,2384,39481,1,training_batch,,,
seed,full,PPO+Pointer,43,2400,39753,1,training_batch,,,
seed,full,PPO+Pointer,43,2416,40025,1,training_batch,,,
seed,full,PPO+Pointer,43,2432,40297,1,training_batch,,,
