model,training_seed,environment_interactions,return_rate
traditional_ppo,43,8731,1
traditional_ppo,43,8837,1
traditional_ppo,43,8955,1
traditional_ppo,43,9037,1
traditional_ppo,43,9131,1
traditional_ppo,43,9243,1
traditional_ppo,43,9342,1
traditional_ppo,43,9434,1
traditional_ppo,43,9530,1
traditional_ppo,43,9619,1
traditional_ppo,43,9719,1
traditional_ppo,43,9802,1
traditional_ppo,43,9903,1
traditional_ppo,43,9993,1
traditional_ppo,43,10092,1
traditional_ppo,43,10188,1
traditional_ppo,43,10282,1
traditional_ppo,43,10379,1
traditional_ppo,43,10470,1
traditional_ppo,43,10567,1
traditional_ppo,43,10661,1
traditional_ppo,43,10747,1
traditional_ppo,43,10845,1
traditional_ppo,43,10956,1
traditional_ppo,43,11046,1
traditional_ppo,43,11139,1
traditional_ppo,43,11233,1
traditional_ppo,43,11321,1
traditional_ppo,43,11413,1
traditional_ppo,43,11501,1
traditional_ppo,43,11587,1
traditional_ppo,43,11614,1
traditional_ppo,43,11716,1
traditional_ppo,43,11807,1
traditional_ppo,43,11902,1
traditional_ppo,43,12005,1
traditional_ppo,43,12093,1
traditional_ppo,43,12191,1
traditional_ppo,43,12301,1
traditional_ppo,43,12381,1
traditional_ppo,43,12471,1
traditional_ppo,43,12566,1
traditional_ppo,43,12650,1
traditional_ppo,43,12744,1
traditional_ppo,43,12847,1
traditional_ppo,43,12944,1
traditional_ppo,43,13047,1
traditional_ppo,43,13153,1
traditional_ppo,43,13238,1
traditional_ppo,43,13342,1
traditional_ppo,43,13437,1
traditional_ppo,43,13544,1
traditional_ppo,43,13640,1
traditional_ppo,43,13745,1
traditional_ppo,43,13832,1
traditional_ppo,43,13934,1
traditional_ppo,43,14040,1
traditional_ppo,43,14135,1
traditional_ppo,43,14236,1
traditional_ppo,43,14334,1
traditional_ppo,43,14427,1
traditional_ppo,43,14514,1
traditional_ppo,43,14614,1
traditional_ppo,43,14638,1
traditional_ppo,43,14729,1
traditional_ppo,43,14826,1
traditional_ppo,43,14922,1
