model,training_seed,environment_interactions,mean_weighted_coverage
full,45,14300,0.46875
full,45,14482,0.5140306122
full,45,14594,0.455078125
full,45,14717,0.4046875
full,45,14896,0.5012755102
full,45,15014,0.46875
full,45,15157,0.4859375
full,45,15322,0.4323979592
full,45,15460,0.544921875
full,45,15600,0.4390625
full,45,15761,0.4579081633
full,45,15885,0.48828125
full,45,16028,0.4453125
full,45,16197,0.4515306122
full,45,16329,0.48828125
full,45,16488,0.5203125
full,45,16654,0.4566326531
full,45,16765,0.44921875
full,45,16797,0.4375
full,45,16967,0.4630102041
full,45,17083,0.43359375
full,45,17242,0.496875
full,45,17413,0.4719387755
full,45,17534,0.458984375
full,45,17682,0.46875
full,45,17846,0.4489795918
full,45,17970,0.470703125
full,45,18125,0.515625
full,45,18280,0.431122449
full,45,18409,0.51953125
full,45,18542,0.41875
full,45,18720,0.5
full,45,18857,0.55078125
full,45,18985,0.403125
full,45,19156,0.4566326531
full,45,19269,0.439453125
full,45,19427,0.4984375
full,45,19589,0.4642857143
full,45,19704,0.4375
full,45,19841,0.43125
full,45,19995,0.3966836735
full,45,20132,0.544921875
full,45,20269,0.4453125
full,45,20425,0.4056122449
full,45,20572,0.5546875
full,45,20723,0.49375
full,45,20888,0.443877551
full,45,21019,0.490234375
full,45,21167,0.4625
full,45,21350,0.4553571429
full,45,21379,0.4453125
full,45,21535,0.490625
full,45,21702,0.4170918367
full,45,21835,0.509765625
full,45,21989,0.4890625
full,45,22171,0.4910714286
full,45,22300,0.51953125
full,45,22422,0.3671875
full,45,22589,0.4489795918
full,45,22699,0.421875
full,45,22858,0.4796875
full,45,23041,0.4808673469
full,45,23160,0.478515625
full,45,23302,0.4515625
full,45,23471,0.4681122449
full,45,23601,0.486328125
full,45,23748,0.4765625
full,45,23928,0.4885204082
full,45,24053,0.4765625
full,45,24200,0.4859375
full,45,24350,0.381377551
full,45,24469,0.447265625
full,45,24608,0.4625
full,45,24776,0.4426020408
full,45,24914,0.529296875
full,45,25073,0.503125
full,45,25240,0.4349489796
full,45,25351,0.447265625
full,45,25488,0.428125
full,45,25664,0.4910714286
full,45,25795,0.5
full,45,25933,0.46875
full,45,25977,0.4744897959
full,46,78,0.236328125
full,46,169,0.234375
full,46,271,0.25
full,46,375,0.39453125
full,46,472,0.3046875
full,46,583,0.2908163265
full,46,680,0.392578125
full,46,791,0.3640625
full,46,914,0.368622449
full,46,1014,0.40625
full,46,1132,0.4046875
full,46,1279,0.4349489796
full,46,1388,0.462890625
full,46,1516,0.4453125
full,46,1658,0.4081632653
full,46,1740,0.540625
full,46,1870,0.4484375
full,46,2010,0.4107142857
full,46,2109,0.384765625
full,46,2258,0.5046875
full,46,2399,0.387755102
full,46,2519,0.478515625
full,46,2641,0.3921875
full,46,2790,0.4183673469
full,46,2891,0.404296875
full,46,3022,0.4140625
full,46,3180,0.4056122449
full,46,3276,0.3515625
