record_type,model,training_seed,episodes_seen,environment_interactions,safe_weighted_coverage,median,q25,q75,validation_mode,validation_instance_count,validation_instances_hash,source_path,source_sha256
seed,full,44,948,7960,0.486898856764928,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,1000,8447,0.490003779289493,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,1096,9219,0.500560988284202,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,1256,10717,0.500598781179138,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,1416,12224,0.493739370748299,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,1500,13036,0.492411895313681,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,1564,13584,0.488916052532124,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,1724,15039,0.486289446334089,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,1884,16509,0.485649329176115,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,2000,17556,0.495222741874527,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,2032,17862,0.493089805366591,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,2192,19350,0.488911328420257,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,2352,20883,0.481960978835979,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,2500,22209,0.491562736205593,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,2660,23622,0.496110874905518,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,2820,25200,0.501286139455782,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,2980,26670,0.49859339569161,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
seed,full,44,3000,26861,0.497039162887377,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/training_metrics.jsonl,ecd64d0961f813aa4650487f979e6025f88e9ac6db7e335954cb0a079cf2f43d
