episodes_seen,mean_weighted_coverage,median,model,q25,q75,record_type,training_seed
1852.0,0.505859375,,full,,,seed,43.0
1868.0,0.5078125,,full,,,seed,43.0
1884.0,0.4553571428571428,,full,,,seed,43.0
1900.0,0.48828125,,full,,,seed,43.0
1916.0,0.4765625,,full,,,seed,43.0
1932.0,0.4170918367346938,,full,,,seed,43.0
1948.0,0.43359375,,full,,,seed,43.0
1964.0,0.44375,,full,,,seed,43.0
1980.0,0.3966836734693877,,full,,,seed,43.0
1996.0,0.46875,,full,,,seed,43.0
2000.0,0.375,,full,,,seed,43.0
2016.0,0.4349489795918367,,full,,,seed,43.0
2032.0,0.44140625,,full,,,seed,43.0
2048.0,0.465625,,full,,,seed,43.0
2064.0,0.4642857142857143,,full,,,seed,43.0
2080.0,0.478515625,,full,,,seed,43.0
2096.0,0.5078125,,full,,,seed,43.0
2112.0,0.4553571428571429,,full,,,seed,43.0
2128.0,0.447265625,,full,,,seed,43.0
2144.0,0.3999999999999999,,full,,,seed,43.0
2160.0,0.4579081632653061,,full,,,seed,43.0
2176.0,0.427734375,,full,,,seed,43.0
2192.0,0.4953125,,full,,,seed,43.0
2208.0,0.528061224489796,,full,,,seed,43.0
2224.0,0.4921875,,full,,,seed,43.0
2240.0,0.5125,,full,,,seed,43.0
2256.0,0.4706632653061224,,full,,,seed,43.0
2272.0,0.5078125,,full,,,seed,43.0
2288.0,0.5078125,,full,,,seed,43.0
2304.0,0.4311224489795918,,full,,,seed,43.0
2320.0,0.599609375,,full,,,seed,43.0
2336.0,0.4828125,,full,,,seed,43.0
2352.0,0.4413265306122449,,full,,,seed,43.0
2368.0,0.482421875,,full,,,seed,43.0
2384.0,0.49375,,full,,,seed,43.0
2400.0,0.4706632653061224,,full,,,seed,43.0
2416.0,0.44921875,,full,,,seed,43.0
2432.0,0.4734375,,full,,,seed,43.0
2448.0,0.4170918367346938,,full,,,seed,43.0
2464.0,0.490234375,,full,,,seed,43.0
2480.0,0.4140625,,full,,,seed,43.0
2496.0,0.4362244897959183,,full,,,seed,43.0
2500.0,0.5625,,full,,,seed,43.0
2516.0,0.4265625,,full,,,seed,43.0
2532.0,0.4272959183673469,,full,,,seed,43.0
2548.0,0.48046875,,full,,,seed,43.0
2564.0,0.5,,full,,,seed,43.0
2580.0,0.4426020408163265,,full,,,seed,43.0
2596.0,0.501953125,,full,,,seed,43.0
2612.0,0.54375,,full,,,seed,43.0
2628.0,0.4362244897959183,,full,,,seed,43.0
2644.0,0.498046875,,full,,,seed,43.0
