aggregation,grid_id,is_first,model,rank,scope,score,score_0_to_1,score_0_to_100,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
arithmetic,22,1.0,full,1,core_learning_training_aware,0.772885887526153,0.772885887526153,77.2885887526153,0.2,0.1,0.15,0.15,0.1,0.15,0.15
geometric,22,0.0,traditional_ppo,3,core_learning_training_aware,0.5145991609936201,0.5145991609936201,51.45991609936201,0.2,0.1,0.15,0.15,0.1,0.15,0.15
arithmetic,22,0.0,traditional_ppo,3,core_learning_training_aware,0.6166419274282586,0.6166419274282586,61.66419274282586,0.2,0.1,0.15,0.15,0.1,0.15,0.15
geometric,22,0.0,a2c_pointer,2,core_learning_training_aware,0.7309285289253402,0.7309285289253402,73.09285289253403,0.2,0.1,0.15,0.15,0.1,0.15,0.15
arithmetic,22,0.0,a2c_pointer,2,core_learning_training_aware,0.7676249295383618,0.7676249295383618,76.76249295383619,0.2,0.1,0.15,0.15,0.1,0.15,0.15
geometric,23,1.0,full,1,core_learning_training_aware,0.734566115239702,0.734566115239702,73.45661152397021,0.2,0.1,0.15,0.15,0.1,0.2,0.1
arithmetic,23,1.0,full,1,core_learning_training_aware,0.7739179873731594,0.7739179873731594,77.39179873731594,0.2,0.1,0.15,0.15,0.1,0.2,0.1
geometric,23,0.0,traditional_ppo,3,core_learning_training_aware,0.5603359806652212,0.5603359806652212,56.03359806652212,0.2,0.1,0.15,0.15,0.1,0.2,0.1
arithmetic,23,0.0,traditional_ppo,3,core_learning_training_aware,0.6569715400970935,0.6569715400970935,65.69715400970935,0.2,0.1,0.15,0.15,0.1,0.2,0.1
geometric,23,0.0,a2c_pointer,2,core_learning_training_aware,0.7318234575869331,0.7318234575869331,73.18234575869332,0.2,0.1,0.15,0.15,0.1,0.2,0.1
arithmetic,23,0.0,a2c_pointer,2,core_learning_training_aware,0.7687975528795556,0.7687975528795556,76.87975528795556,0.2,0.1,0.15,0.15,0.1,0.2,0.1
geometric,24,1.0,full,1,core_learning_training_aware,0.7089454821187942,0.7089454821187942,70.89454821187941,0.2,0.1,0.15,0.15,0.15,0.05,0.2
arithmetic,24,1.0,full,1,core_learning_training_aware,0.7478379416854012,0.7478379416854012,74.78379416854011,0.2,0.1,0.15,0.15,0.15,0.05,0.2
geometric,24,0.0,traditional_ppo,3,core_learning_training_aware,0.46228844690473386,0.46228844690473386,46.22884469047339,0.2,0.1,0.15,0.15,0.15,0.05,0.2
arithmetic,24,0.0,traditional_ppo,3,core_learning_training_aware,0.5587269577638302,0.5587269577638302,55.87269577638302,0.2,0.1,0.15,0.15,0.15,0.05,0.2
geometric,24,0.0,a2c_pointer,2,core_learning_training_aware,0.7072223149748738,0.7072223149748738,70.72223149748737,0.2,0.1,0.15,0.15,0.15,0.05,0.2
arithmetic,24,0.0,a2c_pointer,2,core_learning_training_aware,0.743653500451935,0.743653500451935,74.3653500451935,0.2,0.1,0.15,0.15,0.15,0.05,0.2
geometric,25,1.0,full,1,core_learning_training_aware,0.7096958232786081,0.7096958232786081,70.96958232786082,0.2,0.1,0.15,0.15,0.15,0.1,0.15
arithmetic,25,1.0,full,1,core_learning_training_aware,0.7488700415324081,0.7488700415324081,74.88700415324081,0.2,0.1,0.15,0.15,0.15,0.1,0.15
geometric,25,0.0,traditional_ppo,3,core_learning_training_aware,0.5033759669300694,0.5033759669300694,50.33759669300694,0.2,0.1,0.15,0.15,0.15,0.1,0.15
arithmetic,25,0.0,traditional_ppo,3,core_learning_training_aware,0.5990565704326652,0.5990565704326652,59.90565704326652,0.2,0.1,0.15,0.15,0.15,0.1,0.15
geometric,25,0.0,a2c_pointer,2,core_learning_training_aware,0.7080882184042004,0.7080882184042004,70.80882184042004,0.2,0.1,0.15,0.15,0.15,0.1,0.15
arithmetic,25,0.0,a2c_pointer,2,core_learning_training_aware,0.7448261237931292,0.7448261237931292,74.48261237931291,0.2,0.1,0.15,0.15,0.15,0.1,0.15
geometric,26,1.0,full,1,core_learning_training_aware,0.710446958592374,0.710446958592374,71.0446958592374,0.2,0.1,0.15,0.15,0.15,0.15,0.1
arithmetic,26,1.0,full,1,core_learning_training_aware,0.7499021413794146,0.7499021413794146,74.99021413794146,0.2,0.1,0.15,0.15,0.15,0.15,0.1
geometric,26,0.0,traditional_ppo,3,core_learning_training_aware,0.5481152855524404,0.5481152855524404,54.81152855524404,0.2,0.1,0.15,0.15,0.15,0.15,0.1
arithmetic,26,0.0,traditional_ppo,3,core_learning_training_aware,0.6393861831015002,0.6393861831015002,63.93861831015002,0.2,0.1,0.15,0.15,0.15,0.15,0.1
