aggregation,model,scenario,scope,score,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5
geometric,ga,balanced_default,synthetic_all,0.552179217771517,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
arithmetic,ga,balanced_default,synthetic_all,0.5869024421641628,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
geometric,ga,mission_first,synthetic_all,0.5607519442868112,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
arithmetic,ga,mission_first,synthetic_all,0.5858608063301711,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
geometric,ga,safety_first,synthetic_all,0.5949405521761449,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
arithmetic,ga,safety_first,synthetic_all,0.6371023412553134,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
geometric,ga,realtime_first,synthetic_all,0.5195823003141726,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
arithmetic,ga,realtime_first,synthetic_all,0.5609618855694968,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
geometric,sa,balanced_default,synthetic_all,0.570829993634692,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
arithmetic,sa,balanced_default,synthetic_all,0.607944438507315,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
geometric,sa,mission_first,synthetic_all,0.5886985629579207,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
arithmetic,sa,mission_first,synthetic_all,0.6170100152745072,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
geometric,sa,safety_first,synthetic_all,0.614180431434282,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
arithmetic,sa,safety_first,synthetic_all,0.65601522038678,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
geometric,sa,realtime_first,synthetic_all,0.5502176911262597,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
arithmetic,sa,realtime_first,synthetic_all,0.5887744967014769,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
geometric,milp,balanced_default,synthetic_all,0.5006872845940669,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
arithmetic,milp,balanced_default,synthetic_all,0.5851319403852224,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
geometric,milp,mission_first,synthetic_all,0.549156769367529,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
arithmetic,milp,mission_first,synthetic_all,0.611372333593875,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
geometric,milp,safety_first,synthetic_all,0.5397592410049393,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
arithmetic,milp,safety_first,synthetic_all,0.6328341645608304,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
geometric,milp,realtime_first,synthetic_all,0.40434839522126065,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
arithmetic,milp,realtime_first,synthetic_all,0.5286522821321513,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
