condition,family,map_id,model,perturbed_safe_rate,perturbed_safe_weighted_coverage,repeat_count,retention
power_model,known_domain_shift,cn_guizhou_karst,priority_resource_greedy,1.0,0.38273809523809527,3,0.9712585034013606
wind,known_domain_shift,cn_guizhou_karst,priority_resource_greedy,1.0,0.40314625850340136,3,0.9916666666666667
dem_error,hidden_model_perception_mismatch,cn_hengduan,priority_resource_greedy,1.0,0.5250425170068027,3,1.0
localization,hidden_model_perception_mismatch,cn_hengduan,priority_resource_greedy,1.0,0.5250425170068027,3,1.0
power_model,hidden_model_perception_mismatch,cn_hengduan,priority_resource_greedy,1.0,0.5250425170068027,3,1.0
wind,hidden_model_perception_mismatch,cn_hengduan,priority_resource_greedy,1.0,0.5250425170068027,3,1.0
power_model,known_domain_shift,cn_hengduan,priority_resource_greedy,1.0,0.5250425170068027,3,1.0
wind,known_domain_shift,cn_hengduan,priority_resource_greedy,1.0,0.5250425170068027,3,1.0
dem_error,hidden_model_perception_mismatch,cn_qinling,priority_resource_greedy,1.0,0.37023809523809526,3,1.0
localization,hidden_model_perception_mismatch,cn_qinling,priority_resource_greedy,0.6666666666666666,0.22023809523809523,3,0.85
power_model,hidden_model_perception_mismatch,cn_qinling,priority_resource_greedy,1.0,0.37023809523809526,3,1.0
wind,hidden_model_perception_mismatch,cn_qinling,priority_resource_greedy,1.0,0.37023809523809526,3,1.0
power_model,known_domain_shift,cn_qinling,priority_resource_greedy,1.0,0.3535714285714286,3,0.9833333333333334
wind,known_domain_shift,cn_qinling,priority_resource_greedy,1.0,0.37023809523809526,3,1.0
dem_error,hidden_model_perception_mismatch,cn_taihang,priority_resource_greedy,1.0,0.47687074829931975,3,1.0
localization,hidden_model_perception_mismatch,cn_taihang,priority_resource_greedy,1.0,0.47687074829931975,3,1.0
power_model,hidden_model_perception_mismatch,cn_taihang,priority_resource_greedy,0.6666666666666666,0.2602040816326531,3,0.7833333333333333
wind,hidden_model_perception_mismatch,cn_taihang,priority_resource_greedy,0.6666666666666666,0.3,3,0.8231292517006803
power_model,known_domain_shift,cn_taihang,priority_resource_greedy,1.0,0.4602040816326531,3,0.9833333333333333
wind,known_domain_shift,cn_taihang,priority_resource_greedy,1.0,0.47006802721088436,3,0.9931972789115646
dem_error,hidden_model_perception_mismatch,global_alps,priority_resource_greedy,1.0,0.39562074829931976,3,1.0
localization,hidden_model_perception_mismatch,global_alps,priority_resource_greedy,1.0,0.39562074829931976,3,1.0
power_model,hidden_model_perception_mismatch,global_alps,priority_resource_greedy,0.6666666666666666,0.2602040816326531,3,0.8645833333333334
wind,hidden_model_perception_mismatch,global_alps,priority_resource_greedy,1.0,0.39562074829931976,3,1.0
power_model,known_domain_shift,global_alps,priority_resource_greedy,1.0,0.37478741496598644,3,0.9791666666666666
wind,known_domain_shift,global_alps,priority_resource_greedy,1.0,0.4024234693877551,3,1.0
dem_error,hidden_model_perception_mismatch,global_colorado_rockies,priority_resource_greedy,1.0,0.6040816326530613,3,1.0
localization,hidden_model_perception_mismatch,global_colorado_rockies,priority_resource_greedy,1.0,0.6353316326530613,3,1.0
power_model,hidden_model_perception_mismatch,global_colorado_rockies,priority_resource_greedy,0.6666666666666666,0.41241496598639454,3,0.8083333333333333
wind,hidden_model_perception_mismatch,global_colorado_rockies,priority_resource_greedy,1.0,0.6040816326530613,3,1.0
power_model,known_domain_shift,global_colorado_rockies,priority_resource_greedy,1.0,0.5874149659863945,3,0.9833333333333334
wind,known_domain_shift,global_colorado_rockies,priority_resource_greedy,1.0,0.6040816326530613,3,1.0
dem_error,hidden_model_perception_mismatch,global_peruvian_andes,priority_resource_greedy,1.0,0.43605442176870746,3,1.0
localization,hidden_model_perception_mismatch,global_peruvian_andes,priority_resource_greedy,1.0,0.42563775510204077,3,0.9895833333333334
power_model,hidden_model_perception_mismatch,global_peruvian_andes,priority_resource_greedy,0.6666666666666666,0.3110544217687075,3,0.875
wind,hidden_model_perception_mismatch,global_peruvian_andes,priority_resource_greedy,0.6666666666666666,0.3110544217687075,3,0.875
power_model,known_domain_shift,global_peruvian_andes,priority_resource_greedy,1.0,0.40480442176870746,3,0.96875
wind,known_domain_shift,global_peruvian_andes,priority_resource_greedy,1.0,0.42563775510204077,3,0.9895833333333334
dem_error,hidden_model_perception_mismatch,global_southern_alps_nz,priority_resource_greedy,1.0,0.38065476190476194,3,0.9833333333333334
localization,hidden_model_perception_mismatch,global_southern_alps_nz,priority_resource_greedy,0.6666666666666666,0.24523809523809526,3,0.8479166666666667
power_model,hidden_model_perception_mismatch,global_southern_alps_nz,priority_resource_greedy,1.0,0.39732142857142855,3,1.0
wind,hidden_model_perception_mismatch,global_southern_alps_nz,priority_resource_greedy,1.0,0.39732142857142855,3,1.0
power_model,known_domain_shift,global_southern_alps_nz,priority_resource_greedy,1.0,0.39732142857142855,3,1.0
wind,known_domain_shift,global_southern_alps_nz,priority_resource_greedy,1.0,0.39732142857142855,3,1.0
dem_error,hidden_model_perception_mismatch,cn_guizhou_karst,traditional_ppo,1.0,0.1987329931972789,15,1.0
localization,hidden_model_perception_mismatch,cn_guizhou_karst,traditional_ppo,0.9333333333333333,0.17706632653061227,15,0.9833333333333333
power_model,hidden_model_perception_mismatch,cn_guizhou_karst,traditional_ppo,0.4,0.09791666666666667,15,0.9041836734693878
wind,hidden_model_perception_mismatch,cn_guizhou_karst,traditional_ppo,0.7333333333333333,0.1492091836734694,15,0.9554761904761905
power_model,known_domain_shift,cn_guizhou_karst,traditional_ppo,1.0,0.19873299319727897,15,0.9925850340136054
wind,known_domain_shift,cn_guizhou_karst,traditional_ppo,1.0,0.1943452380952381,15,0.9956122448979592
dem_error,hidden_model_perception_mismatch,cn_hengduan,traditional_ppo,1.0,0.2927295918367347,15,1.0
localization,hidden_model_perception_mismatch,cn_hengduan,traditional_ppo,1.0,0.2927295918367347,15,1.0
power_model,hidden_model_perception_mismatch,cn_hengduan,traditional_ppo,1.0,0.2927295918367347,15,1.0
wind,hidden_model_perception_mismatch,cn_hengduan,traditional_ppo,1.0,0.2927295918367347,15,1.0
power_model,known_domain_shift,cn_hengduan,traditional_ppo,1.0,0.2927295918367347,15,1.0
wind,known_domain_shift,cn_hengduan,traditional_ppo,1.0,0.2927295918367347,15,1.0
dem_error,hidden_model_perception_mismatch,cn_qinling,traditional_ppo,0.9333333333333333,0.23687074829931973,15,0.9849489795918367
localization,hidden_model_perception_mismatch,cn_qinling,traditional_ppo,0.6,0.1615221088435374,15,0.9158503401360545
power_model,hidden_model_perception_mismatch,cn_qinling,traditional_ppo,0.6666666666666666,0.164421768707483,15,0.91875
wind,hidden_model_perception_mismatch,cn_qinling,traditional_ppo,0.8,0.20489795918367346,15,0.9592261904761905
power_model,known_domain_shift,cn_qinling,traditional_ppo,1.0,0.23317176870748302,15,0.9854166666666667
wind,known_domain_shift,cn_qinling,traditional_ppo,1.0,0.2408673469387755,15,0.9931122448979592
dem_error,hidden_model_perception_mismatch,cn_taihang,traditional_ppo,1.0,0.2598809523809524,15,1.0
localization,hidden_model_perception_mismatch,cn_taihang,traditional_ppo,0.9333333333333333,0.24491496598639456,15,0.9850340136054422
power_model,hidden_model_perception_mismatch,cn_taihang,traditional_ppo,1.0,0.2598809523809524,15,1.0
wind,hidden_model_perception_mismatch,cn_taihang,traditional_ppo,1.0,0.2598809523809524,15,1.0
power_model,known_domain_shift,cn_taihang,traditional_ppo,1.0,0.2598809523809524,15,1.0
wind,known_domain_shift,cn_taihang,traditional_ppo,1.0,0.2598809523809524,15,1.0
dem_error,hidden_model_perception_mismatch,global_alps,traditional_ppo,1.0,0.2723214285714286,15,1.0
localization,hidden_model_perception_mismatch,global_alps,traditional_ppo,1.0,0.2723214285714286,15,1.0
power_model,hidden_model_perception_mismatch,global_alps,traditional_ppo,0.8,0.20148809523809524,15,0.9291666666666667
wind,hidden_model_perception_mismatch,global_alps,traditional_ppo,1.0,0.2723214285714286,15,1.0
