domain,model,map_id,safe_weighted_coverage,weighted_coverage,safe_rate,return_rate,planning_time_s
未见合成,no_return_reserve,synthetic_test__map_022,0.1223809524,0.1223809524,1,1,0.3717888622
未见合成,no_return_reserve,synthetic_test__map_023,0.1296003401,0.1296003401,1,1,0.4647685556
未见合成,priority_resource_greedy,synthetic_test__map_000,0.4920634921,0.4920634921,1,1,3.105776578
未见合成,priority_resource_greedy,synthetic_test__map_001,0.3809807256,0.3809807256,1,1,2.595953756
未见合成,priority_resource_greedy,synthetic_test__map_002,0.4611394558,0.4611394558,1,1,3.072992344
未见合成,priority_resource_greedy,synthetic_test__map_003,0.4342120181,0.4342120181,1,1,3.415757589
未见合成,priority_resource_greedy,synthetic_test__map_004,0.4748015873,0.4748015873,1,1,3.013945411
未见合成,priority_resource_greedy,synthetic_test__map_005,0.4448554422,0.4448554422,1,1,2.940089044
未见合成,priority_resource_greedy,synthetic_test__map_006,0.4121598639,0.4121598639,1,1,2.815237167
未见合成,priority_resource_greedy,synthetic_test__map_007,0.4636054422,0.4636054422,1,1,3.275569478
未见合成,priority_resource_greedy,synthetic_test__map_008,0.4662840136,0.4662840136,1,1,3.154700067
未见合成,priority_resource_greedy,synthetic_test__map_009,0.4761337868,0.4761337868,1,1,3.086221289
未见合成,priority_resource_greedy,synthetic_test__map_010,0.4361394558,0.4361394558,1,1,2.875440578
未见合成,priority_resource_greedy,synthetic_test__map_011,0.4841553288,0.4841553288,1,1,3.490460644
未见合成,priority_resource_greedy,synthetic_test__map_012,0.4658163265,0.4658163265,1,1,3.085350989
未见合成,priority_resource_greedy,synthetic_test__map_013,0.4531320862,0.4531320862,1,1,2.988423478
未见合成,priority_resource_greedy,synthetic_test__map_014,0.4411848073,0.4411848073,1,1,2.7848516
未见合成,priority_resource_greedy,synthetic_test__map_015,0.2893707483,0.2893707483,1,1,3.198815411
未见合成,priority_resource_greedy,synthetic_test__map_016,0.4652636054,0.4652636054,1,1,3.260825978
未见合成,priority_resource_greedy,synthetic_test__map_017,0.452154195,0.452154195,1,1,3.242078511
未见合成,priority_resource_greedy,synthetic_test__map_018,0.4582199546,0.4582199546,1,1,2.917482089
未见合成,priority_resource_greedy,synthetic_test__map_019,0.4147108844,0.4147108844,1,1,3.248883844
未见合成,priority_resource_greedy,synthetic_test__map_020,0.4861394558,0.4861394558,1,1,3.273800322
