aggregation,grid_id,is_first,model,rank,score_0_to_100,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
arithmetic,21,1.0,full,1,74.1650990539278,0.2,0.1,0.15,0.15,0.1,0.1,0.2
geometric,21,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.15,0.1,0.1,0.2
arithmetic,21,0.0,traditional_ppo,3,52.62984815620493,0.2,0.1,0.15,0.15,0.1,0.1,0.2
geometric,21,0.0,a2c_pointer,2,69.61436841652933,0.2,0.1,0.15,0.15,0.1,0.1,0.2
arithmetic,21,0.0,a2c_pointer,2,72.49760588041052,0.2,0.1,0.15,0.15,0.1,0.1,0.2
geometric,22,1.0,full,1,71.06058261398668,0.2,0.1,0.15,0.15,0.1,0.15,0.15
arithmetic,22,1.0,full,1,74.42312401567948,0.2,0.1,0.15,0.15,0.1,0.15,0.15
geometric,22,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.15,0.1,0.15,0.15
arithmetic,22,0.0,traditional_ppo,3,57.45767179216369,0.2,0.1,0.15,0.15,0.1,0.15,0.15
geometric,22,0.0,a2c_pointer,2,69.84260953533258,0.2,0.1,0.15,0.15,0.1,0.15,0.15
arithmetic,22,0.0,a2c_pointer,2,72.79076171570905,0.2,0.1,0.15,0.15,0.1,0.15,0.15
geometric,23,1.0,full,1,71.25610718167557,0.2,0.1,0.15,0.15,0.1,0.2,0.1
arithmetic,23,1.0,full,1,74.68114897743115,0.2,0.1,0.15,0.15,0.1,0.2,0.1
geometric,23,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.15,0.1,0.2,0.1
arithmetic,23,0.0,traditional_ppo,3,62.28549542812244,0.2,0.1,0.15,0.15,0.1,0.2,0.1
geometric,23,0.0,a2c_pointer,2,70.07159897678095,0.2,0.1,0.15,0.15,0.1,0.2,0.1
arithmetic,23,0.0,a2c_pointer,2,73.08391755100757,0.2,0.1,0.15,0.15,0.1,0.2,0.1
geometric,24,1.0,full,1,68.61239031553019,0.2,0.1,0.15,0.15,0.15,0.05,0.2
arithmetic,24,1.0,full,1,71.8682659462523,0.2,0.1,0.15,0.15,0.15,0.05,0.2
geometric,24,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.15,0.15,0.05,0.2
arithmetic,24,0.0,traditional_ppo,3,50.97461827507034,0.2,0.1,0.15,0.15,0.15,0.05,0.2
geometric,24,0.0,a2c_pointer,2,67.59886616368246,0.2,0.1,0.15,0.15,0.15,0.05,0.2
arithmetic,24,0.0,a2c_pointer,2,70.44201633595813,0.2,0.1,0.15,0.15,0.15,0.05,0.2
geometric,25,1.0,full,1,68.801178634751,0.2,0.1,0.15,0.15,0.15,0.1,0.15
arithmetic,25,1.0,full,1,72.12629090800398,0.2,0.1,0.15,0.15,0.15,0.1,0.15
geometric,25,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.15,0.15,0.1,0.15
arithmetic,25,0.0,traditional_ppo,3,55.8024419110291,0.2,0.1,0.15,0.15,0.15,0.1,0.15
geometric,25,0.0,a2c_pointer,2,67.82049915689892,0.2,0.1,0.15,0.15,0.15,0.1,0.15
arithmetic,25,0.0,a2c_pointer,2,70.73517217125668,0.2,0.1,0.15,0.15,0.15,0.1,0.15
geometric,26,1.0,full,1,68.99048640868416,0.2,0.1,0.15,0.15,0.15,0.15,0.1
arithmetic,26,1.0,full,1,72.38431586975565,0.2,0.1,0.15,0.15,0.15,0.15,0.1
geometric,26,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.15,0.15,0.15,0.1
arithmetic,26,0.0,traditional_ppo,3,60.63026554698785,0.2,0.1,0.15,0.15,0.15,0.15,0.1
geometric,26,0.0,a2c_pointer,2,68.04285880703243,0.2,0.1,0.15,0.15,0.15,0.15,0.1
arithmetic,26,0.0,a2c_pointer,2,71.0283280065552,0.2,0.1,0.15,0.15,0.15,0.15,0.1
geometric,27,1.0,full,1,69.18031506661933,0.2,0.1,0.15,0.15,0.15,0.2,0.05
arithmetic,27,1.0,full,1,72.64234083150733,0.2,0.1,0.15,0.15,0.15,0.2,0.05
geometric,27,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.15,0.15,0.2,0.05
