aggregation,grid_id,is_first,model,rank,scope,score,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
geometric,22,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6624691840932639,0.2,0.1,0.15,0.15,0.1,0.15,0.15
arithmetic,22,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.7013983294705756,0.2,0.1,0.15,0.15,0.1,0.15,0.15
geometric,22,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.546989832442912,0.2,0.1,0.15,0.15,0.1,0.15,0.15
arithmetic,22,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.6310642592598388,0.2,0.1,0.15,0.15,0.1,0.15,0.15
geometric,23,1.0,full,1,core_learning_training_corrected_v6,0.6876464548049067,0.2,0.1,0.15,0.15,0.1,0.2,0.1
arithmetic,23,1.0,full,1,core_learning_training_corrected_v6,0.7284570253068821,0.2,0.1,0.15,0.15,0.1,0.2,0.1
geometric,23,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6872691248234171,0.2,0.1,0.15,0.15,0.1,0.2,0.1
arithmetic,23,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.7273490149428095,0.2,0.1,0.15,0.15,0.1,0.2,0.1
geometric,23,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5840890252284896,0.2,0.1,0.15,0.15,0.1,0.2,0.1
arithmetic,23,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.6674006579106444,0.2,0.1,0.15,0.15,0.1,0.2,0.1
geometric,24,1.0,full,1,core_learning_training_corrected_v6,0.6186956262654929,0.2,0.1,0.15,0.15,0.15,0.05,0.2
arithmetic,24,1.0,full,1,core_learning_training_corrected_v6,0.6527947853127298,0.2,0.1,0.15,0.15,0.15,0.05,0.2
geometric,24,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6177607604799321,0.2,0.1,0.15,0.15,0.15,0.05,0.2
arithmetic,24,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6512975738655535,0.2,0.1,0.15,0.15,0.15,0.05,0.2
geometric,24,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5008691961845252,0.2,0.1,0.15,0.15,0.15,0.05,0.2
arithmetic,24,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5767353886505241,0.2,0.1,0.15,0.15,0.15,0.05,0.2
geometric,25,1.0,full,1,core_learning_training_corrected_v6,0.6412725108501415,0.2,0.1,0.15,0.15,0.15,0.1,0.15
arithmetic,25,1.0,full,1,core_learning_training_corrected_v6,0.6783236085814967,0.2,0.1,0.15,0.15,0.15,0.1,0.15
geometric,25,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6408870139165896,0.2,0.1,0.15,0.15,0.15,0.1,0.15
arithmetic,25,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6772482593377875,0.2,0.1,0.15,0.15,0.15,0.1,0.15
geometric,25,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.534840289918788,0.2,0.1,0.15,0.15,0.15,0.1,0.15
arithmetic,25,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.61307178730133,0.2,0.1,0.15,0.15,0.15,0.1,0.15
geometric,26,0.0,full,2,core_learning_training_corrected_v6,0.6646732508103731,0.2,0.1,0.15,0.15,0.15,0.15,0.1
arithmetic,26,1.0,full,1,core_learning_training_corrected_v6,0.7038524318502632,0.2,0.1,0.15,0.15,0.15,0.15,0.1
geometric,26,1.0,a2c_pointer,1,core_learning_training_corrected_v6,0.664879012852526,0.2,0.1,0.15,0.15,0.15,0.15,0.1
arithmetic,26,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.7031989448100213,0.2,0.1,0.15,0.15,0.15,0.15,0.1
geometric,26,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5711154487029546,0.2,0.1,0.15,0.15,0.15,0.15,0.1
arithmetic,26,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.6494081859521357,0.2,0.1,0.15,0.15,0.15,0.15,0.1
geometric,27,0.0,full,2,core_learning_training_corrected_v6,0.6889279095359054,0.2,0.1,0.15,0.15,0.15,0.2,0.05
arithmetic,27,1.0,full,1,core_learning_training_corrected_v6,0.7293812551190302,0.2,0.1,0.15,0.15,0.15,0.2,0.05
geometric,27,1.0,a2c_pointer,1,core_learning_training_corrected_v6,0.6897691670021627,0.2,0.1,0.15,0.15,0.15,0.2,0.05
arithmetic,27,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.7291496302822552,0.2,0.1,0.15,0.15,0.15,0.2,0.05
geometric,27,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.6098509440953007,0.2,0.1,0.15,0.15,0.15,0.2,0.05
arithmetic,27,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.6857445846029415,0.2,0.1,0.15,0.15,0.15,0.2,0.05
geometric,28,1.0,full,1,core_learning_training_corrected_v6,0.6650336527722673,0.2,0.1,0.2,0.05,0.05,0.2,0.2
arithmetic,28,1.0,full,1,core_learning_training_corrected_v6,0.7060851685494437,0.2,0.1,0.2,0.05,0.05,0.2,0.2
geometric,28,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6639240876539987,0.2,0.1,0.2,0.05,0.05,0.2,0.2
arithmetic,28,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.7051011396334254,0.2,0.1,0.2,0.05,0.05,0.2,0.2
geometric,28,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5246872586909432,0.2,0.1,0.2,0.05,0.05,0.2,0.2
arithmetic,28,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.6142382510539436,0.2,0.1,0.2,0.05,0.05,0.2,0.2
geometric,29,1.0,full,1,core_learning_training_corrected_v6,0.6428159075027136,0.2,0.1,0.2,0.05,0.1,0.15,0.2
arithmetic,29,1.0,full,1,core_learning_training_corrected_v6,0.681480575092825,0.2,0.1,0.2,0.05,0.1,0.15,0.2
geometric,29,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6422945190820596,0.2,0.1,0.2,0.05,0.1,0.15,0.2
arithmetic,29,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6809510695006372,0.2,0.1,0.2,0.05,0.1,0.15,0.2
geometric,29,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5130330929583526,0.2,0.1,0.2,0.05,0.1,0.15,0.2
arithmetic,29,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5962457790954349,0.2,0.1,0.2,0.05,0.1,0.15,0.2
geometric,30,0.0,full,2,core_learning_training_corrected_v6,0.6662729677060731,0.2,0.1,0.2,0.05,0.1,0.2,0.15
arithmetic,30,1.0,full,1,core_learning_training_corrected_v6,0.7070093983615918,0.2,0.1,0.2,0.05,0.1,0.2,0.15
geometric,30,1.0,a2c_pointer,1,core_learning_training_corrected_v6,0.666339208838217,0.2,0.1,0.2,0.05,0.1,0.2,0.15
arithmetic,30,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.7069017549728711,0.2,0.1,0.2,0.05,0.1,0.2,0.15
geometric,30,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.54782919426071,0.2,0.1,0.2,0.05,0.1,0.2,0.15
arithmetic,30,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.6325821777462407,0.2,0.1,0.2,0.05,0.1,0.2,0.15
geometric,31,0.0,full,2,core_learning_training_corrected_v6,0.6213404227229937,0.2,0.1,0.2,0.05,0.15,0.1,0.2
arithmetic,31,1.0,full,1,core_learning_training_corrected_v6,0.6568759816362063,0.2,0.1,0.2,0.05,0.15,0.1,0.2
geometric,31,1.0,a2c_pointer,1,core_learning_training_corrected_v6,0.6213696067280645,0.2,0.1,0.2,0.05,0.15,0.1,0.2
arithmetic,31,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6568009993678492,0.2,0.1,0.2,0.05,0.15,0.1,0.2
geometric,31,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.501637785386834,0.2,0.1,0.2,0.05,0.15,0.1,0.2
arithmetic,31,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5782533071369262,0.2,0.1,0.2,0.05,0.15,0.1,0.2
geometric,32,0.0,full,2,core_learning_training_corrected_v6,0.6440138188422903,0.2,0.1,0.2,0.05,0.15,0.15,0.15
arithmetic,32,0.0,full,2,core_learning_training_corrected_v6,0.682404804904973,0.2,0.1,0.2,0.05,0.15,0.15,0.15
geometric,32,1.0,a2c_pointer,1,core_learning_training_corrected_v6,0.6446309595402205,0.2,0.1,0.2,0.05,0.15,0.15,0.15
