environment_interactions,episodes_seen,median,model,q25,q75,record_type,safe_weighted_coverage,training_seed
9993,1724.0,,traditional_ppo,,,seed,0.26074026832955405,43
10956,1884.0,,traditional_ppo,,,seed,0.2760428476946333,43
11614,2000.0,,traditional_ppo,,,seed,0.2581668083900227,43
11807,2032.0,,traditional_ppo,,,seed,0.26028911564625856,43
12744,2192.0,,traditional_ppo,,,seed,0.26925666099773243,43
13745,2352.0,,traditional_ppo,,,seed,0.27455593348450497,43
14638,2500.0,,traditional_ppo,,,seed,0.27435279667422524,43
15608,2660.0,,traditional_ppo,,,seed,0.2746527777777779,43
16611,2820.0,,traditional_ppo,,,seed,0.2627243953136811,43
17573,2980.0,,traditional_ppo,,,seed,0.2636774848828421,43
17702,3000.0,,traditional_ppo,,,seed,0.2762152777777778,43
80,16.0,,traditional_ppo,,,seed,0.23437263794406654,44
826,160.0,,traditional_ppo,,,seed,0.2682197184429327,44
1292,250.0,,traditional_ppo,,,seed,0.26754062736205597,44
1650,314.0,,traditional_ppo,,,seed,0.26015093537414963,44
2554,474.0,,traditional_ppo,,,seed,0.25690901360544216,44
2697,500.0,,traditional_ppo,,,seed,0.2540698223733938,44
3452,628.0,,traditional_ppo,,,seed,0.26038477891156453,44
4380,788.0,,traditional_ppo,,,seed,0.2572987528344671,44
5329,948.0,,traditional_ppo,,,seed,0.2769238945578232,44
5647,1000.0,,traditional_ppo,,,seed,0.2775049603174604,44
6234,1096.0,,traditional_ppo,,,seed,0.2775014172335602,44
7243,1256.0,,traditional_ppo,,,seed,0.2709136432350719,44
8208,1416.0,,traditional_ppo,,,seed,0.2767006802721088,44
8739,1500.0,,traditional_ppo,,,seed,0.26806146069538933,44
9103,1564.0,,traditional_ppo,,,seed,0.264383739606954,44
10080,1724.0,,traditional_ppo,,,seed,0.2619886148904006,44
11016,1884.0,,traditional_ppo,,,seed,0.26466954837490553,44
11691,2000.0,,traditional_ppo,,,seed,0.2601556594860167,44
11890,2032.0,,traditional_ppo,,,seed,0.25237150415721843,44
12867,2192.0,,traditional_ppo,,,seed,0.25838529856387005,44
