task_id,map_id,model,seed,task_hash,map_hash,vertical_exaggeration,element_type,element_id,sequence,raw_x_grid,raw_y_grid,raw_z_m,display_x_m,display_y_m,display_z_m,priority,visited,note
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_04,4,265.99899291992188,144.46173095703125,540.933837890625,3913.8519287109375,0.03021240234375,551.4007568359375,3,1,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_05,5,256.010009765625,43.949977874755859,556.2269287109375,898.49933624267578,299.69970703125,574.34039306640625,3,0,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_06,6,239.43730163574219,94.450675964355469,551.681640625,2413.5202789306641,796.88095092773438,567.5224609375,2,0,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_07,7,265.01126098632812,87.127555847167969,541.00628662109375,2193.8266754150391,29.66217041015625,551.50942993164062,2,0,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_08,8,265.076416015625,61.829277038574219,548.79498291015625,1434.8783111572266,27.70751953125,563.19247436523438,1,0,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_09,9,231.76679992675781,60.880729675292969,555.249755859375,1406.4218902587891,1026.9960021972656,572.8746337890625,1,0,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_10,10,253.45579528808594,154.05165100097656,549.05609130859375,4201.5495300292969,376.32614135742188,563.58413696289062,3,1,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_11,11,255.24093627929688,134.34933471679688,541.86376953125,3610.4800415039062,322.77191162109375,552.795654296875,1,0,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_12,12,238.83012390136719,80.628883361816406,557.452392578125,1998.8665008544922,815.09628295898438,576.1785888671875,2,0,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_13,13,250.15391540527344,57.096424102783203,548.40802001953125,1292.8927230834961,475.38253784179688,562.61203002929688,1,0,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_14,14,251.69876098632812,86.582633972167969,542.4150390625,2177.4790191650391,429.03717041015625,553.62255859375,2,0,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_15,15,265.99899291992188,75.213905334472656,546.81610107421875,1836.4171600341797,0.03021240234375,560.22415161132812,1,0,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_16,16,240.66035461425781,110.92691802978516,541.001708984375,2907.8075408935547,760.18936157226562,551.5025634765625,2,1,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_17,17,265.99899291992188,52.738887786865234,558.55224609375,1162.166633605957,0.03021240234375,577.828369140625,3,0,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_18,18,229.15687561035156,52.267467498779297,557.68731689453125,1148.0240249633789,1105.2937316894531,576.53097534179688,3,0,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_19,19,234.38035583496094,69.492889404296875,554.12847900390625,1664.7866821289062,948.58932495117188,571.19271850585938,1,0,地面高程由冻结DSM回采样
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,inspection_point,point_20,20,258.1943359375,70.759109497070312,545.049560546875,1702.7732849121094,234.169921875,557.5743408203125,1,0,地面高程由冻结DSM回采样
