aggregation,grid_id,is_first,model,rank,scope,score,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
arithmetic,30,0.0,traditional_ppo,3,core_learning_training_aware,0.6177527309517452,0.2,0.1,0.2,0.05,0.1,0.2,0.15
geometric,30,0.0,a2c_pointer,2,core_learning_training_aware,0.7341891063750562,0.2,0.1,0.2,0.05,0.1,0.2,0.15
arithmetic,30,0.0,a2c_pointer,2,core_learning_training_aware,0.7717770906531017,0.2,0.1,0.2,0.05,0.1,0.2,0.15
geometric,31,1.0,full,1,core_learning_training_aware,0.7115536101955917,0.2,0.1,0.2,0.05,0.15,0.1,0.2
arithmetic,31,1.0,full,1,core_learning_training_aware,0.751330390546004,0.2,0.1,0.2,0.05,0.15,0.1,0.2
geometric,31,0.0,traditional_ppo,3,core_learning_training_aware,0.46280753136813596,0.2,0.1,0.2,0.05,0.15,0.1,0.2
arithmetic,31,0.0,traditional_ppo,3,core_learning_training_aware,0.5598377612873169,0.2,0.1,0.2,0.05,0.15,0.1,0.2
geometric,31,0.0,a2c_pointer,2,core_learning_training_aware,0.710377142076141,0.2,0.1,0.2,0.05,0.15,0.1,0.2
arithmetic,31,0.0,a2c_pointer,2,core_learning_training_aware,0.7478056615666752,0.2,0.1,0.2,0.05,0.15,0.1,0.2
geometric,32,1.0,full,1,core_learning_training_aware,0.7123067117733721,0.2,0.1,0.2,0.05,0.15,0.15,0.15
arithmetic,32,1.0,full,1,core_learning_training_aware,0.7523624903930106,0.2,0.1,0.2,0.05,0.15,0.15,0.15
geometric,32,0.0,traditional_ppo,3,core_learning_training_aware,0.5039411868602515,0.2,0.1,0.2,0.05,0.15,0.15,0.15
arithmetic,32,0.0,traditional_ppo,3,core_learning_training_aware,0.6001673739561518,0.2,0.1,0.2,0.05,0.15,0.15,0.15
geometric,32,0.0,a2c_pointer,2,core_learning_training_aware,0.7112469081884573,0.2,0.1,0.2,0.05,0.15,0.15,0.15
arithmetic,32,0.0,a2c_pointer,2,core_learning_training_aware,0.7489782849078692,0.2,0.1,0.2,0.05,0.15,0.15,0.15
geometric,33,1.0,full,1,core_learning_training_aware,0.7130606104267047,0.2,0.1,0.2,0.05,0.15,0.2,0.1
arithmetic,33,1.0,full,1,core_learning_training_aware,0.7533945902400172,0.2,0.1,0.2,0.05,0.15,0.2,0.1
geometric,33,0.0,traditional_ppo,3,core_learning_training_aware,0.5487307414021129,0.2,0.1,0.2,0.05,0.15,0.2,0.1
arithmetic,33,0.0,traditional_ppo,3,core_learning_training_aware,0.6404969866249868,0.2,0.1,0.2,0.05,0.15,0.2,0.1
geometric,33,0.0,a2c_pointer,2,core_learning_training_aware,0.7121177392183298,0.2,0.1,0.2,0.05,0.15,0.2,0.1
arithmetic,33,0.0,a2c_pointer,2,core_learning_training_aware,0.7501509082490632,0.2,0.1,0.2,0.05,0.15,0.2,0.1
geometric,34,1.0,full,1,core_learning_training_aware,0.7581056319024788,0.2,0.1,0.2,0.1,0.05,0.15,0.2
arithmetic,34,1.0,full,1,core_learning_training_aware,0.7961215127990673,0.2,0.1,0.2,0.1,0.05,0.15,0.2
geometric,34,0.0,traditional_ppo,3,core_learning_training_aware,0.4826835586671988,0.2,0.1,0.2,0.1,0.05,0.15,0.2
