environment_interactions,episodes_seen,median,model,q25,q75,record_type,safe_weighted_coverage,training_seed
6328.0,1096.0,,traditional_ppo,,,seed,0.2652222694633408,42.0
7294.0,1256.0,,traditional_ppo,,,seed,0.2595025510204082,42.0
8256.0,1416.0,,traditional_ppo,,,seed,0.2729119425547997,42.0
8762.0,1500.0,,traditional_ppo,,,seed,0.2593206727135299,42.0
9106.0,1564.0,,traditional_ppo,,,seed,0.2539269179894179,42.0
10060.0,1724.0,,traditional_ppo,,,seed,0.2714545540438396,42.0
11039.0,1884.0,,traditional_ppo,,,seed,0.2760192271352986,42.0
11726.0,2000.0,,traditional_ppo,,,seed,0.278826530612245,42.0
11921.0,2032.0,,traditional_ppo,,,seed,0.2821593915343915,42.0
12887.0,2192.0,,traditional_ppo,,,seed,0.2810834750566893,42.0
13825.0,2352.0,,traditional_ppo,,,seed,0.2781639739229025,42.0
14738.0,2500.0,,traditional_ppo,,,seed,0.2811378023431595,42.0
15697.0,2660.0,,traditional_ppo,,,seed,0.2743220899470899,42.0
16679.0,2820.0,,traditional_ppo,,,seed,0.2768057917611489,42.0
17630.0,2980.0,,traditional_ppo,,,seed,0.2790934429327286,42.0
17753.0,3000.0,,traditional_ppo,,,seed,0.2790780895691609,42.0
69.0,16.0,,traditional_ppo,,,seed,0.2650864512471655,43.0
786.0,160.0,,traditional_ppo,,,seed,0.2668615362811792,43.0
1270.0,250.0,,traditional_ppo,,,seed,0.2706124811035525,43.0
1654.0,314.0,,traditional_ppo,,,seed,0.2747968631897203,43.0
2581.0,474.0,,traditional_ppo,,,seed,0.2599300831443689,43.0
2732.0,500.0,,traditional_ppo,,,seed,0.2609516723356008,43.0
3448.0,628.0,,traditional_ppo,,,seed,0.2571145124716553,43.0
4396.0,788.0,,traditional_ppo,,,seed,0.2541914682539682,43.0
5358.0,948.0,,traditional_ppo,,,seed,0.250994425547997,43.0
5668.0,1000.0,,traditional_ppo,,,seed,0.2611949640967498,43.0
6232.0,1096.0,,traditional_ppo,,,seed,0.2626110166288737,43.0
7180.0,1256.0,,traditional_ppo,,,seed,0.2675170068027211,43.0
8123.0,1416.0,,traditional_ppo,,,seed,0.260130857898715,43.0
8639.0,1500.0,,traditional_ppo,,,seed,0.2536399281934995,43.0
9037.0,1564.0,,traditional_ppo,,,seed,0.258971088435374,43.0
9993.0,1724.0,,traditional_ppo,,,seed,0.260740268329554,43.0
10956.0,1884.0,,traditional_ppo,,,seed,0.2760428476946333,43.0
11614.0,2000.0,,traditional_ppo,,,seed,0.2581668083900227,43.0
11807.0,2032.0,,traditional_ppo,,,seed,0.2602891156462585,43.0
12744.0,2192.0,,traditional_ppo,,,seed,0.2692566609977324,43.0
13745.0,2352.0,,traditional_ppo,,,seed,0.2745559334845049,43.0
14638.0,2500.0,,traditional_ppo,,,seed,0.2743527966742252,43.0
15608.0,2660.0,,traditional_ppo,,,seed,0.2746527777777779,43.0
16611.0,2820.0,,traditional_ppo,,,seed,0.2627243953136811,43.0
17573.0,2980.0,,traditional_ppo,,,seed,0.2636774848828421,43.0
17702.0,3000.0,,traditional_ppo,,,seed,0.2762152777777778,43.0
80.0,16.0,,traditional_ppo,,,seed,0.2343726379440665,44.0
826.0,160.0,,traditional_ppo,,,seed,0.2682197184429327,44.0
1292.0,250.0,,traditional_ppo,,,seed,0.2675406273620559,44.0
1650.0,314.0,,traditional_ppo,,,seed,0.2601509353741496,44.0
2554.0,474.0,,traditional_ppo,,,seed,0.2569090136054421,44.0
2697.0,500.0,,traditional_ppo,,,seed,0.2540698223733938,44.0
3452.0,628.0,,traditional_ppo,,,seed,0.2603847789115645,44.0
4380.0,788.0,,traditional_ppo,,,seed,0.2572987528344671,44.0
5329.0,948.0,,traditional_ppo,,,seed,0.2769238945578232,44.0
5647.0,1000.0,,traditional_ppo,,,seed,0.2775049603174604,44.0
6234.0,1096.0,,traditional_ppo,,,seed,0.2775014172335602,44.0
7243.0,1256.0,,traditional_ppo,,,seed,0.2709136432350719,44.0
8208.0,1416.0,,traditional_ppo,,,seed,0.2767006802721088,44.0
8739.0,1500.0,,traditional_ppo,,,seed,0.2680614606953893,44.0
9103.0,1564.0,,traditional_ppo,,,seed,0.264383739606954,44.0
10080.0,1724.0,,traditional_ppo,,,seed,0.2619886148904006,44.0
11016.0,1884.0,,traditional_ppo,,,seed,0.2646695483749055,44.0
11691.0,2000.0,,traditional_ppo,,,seed,0.2601556594860167,44.0
11890.0,2032.0,,traditional_ppo,,,seed,0.2523715041572184,44.0
12867.0,2192.0,,traditional_ppo,,,seed,0.25838529856387,44.0
13849.0,2352.0,,traditional_ppo,,,seed,0.252817932728647,44.0
14713.0,2500.0,,traditional_ppo,,,seed,0.2592037509448224,44.0
15707.0,2660.0,,traditional_ppo,,,seed,0.2625129913076341,44.0
16709.0,2820.0,,traditional_ppo,,,seed,0.2577676209372638,44.0
17678.0,2980.0,,traditional_ppo,,,seed,0.2574475623582765,44.0
17796.0,3000.0,,traditional_ppo,,,seed,0.2594883786848072,44.0
